"","Station","Cluster_ID","CV (< 0.375)","Uncertainty AVG","Environment Type","Latitude","Longitude","Zone","Region","Northing","Easting","Altitude (m)","Start Date","End Date","UK-AIR ID"
"60","Sandy.Roadside",4,0,0,"Traffic Urban",52.132417,-0.300306,"Eastern","Eastern",249596.87,516436.44,22,"7/28/08","02/07/2019","UKA00533"
"61","Scunthorpe.Town",2,0,0,"Industrial Urban",53.58634,-0.636811,"Yorkshire & Humberside","Yorkshire & Humberside",410836.36,490337.58,36,"01/01/1999","10/02/2018","UKA00381"
"62","Sheffield.Devonshire.Green",2,0,0,"Background Urban",53.378622,-1.478096,"Sheffield Urban Area","Yorkshire & Humberside",386990,434816,89,"10/31/13","5/17/19","UKA00575"
"63","Southampton.A33",4,0,0,"Traffic Urban",50.920265,-1.463484,"Southampton Urban Area","South East",113559.78,437808.99,5,"01/01/2016",NA,"UKA00613"
"64","Southampton.Centre",4,0,0,"Background Urban",50.90814,-1.395778,"Southampton Urban Area","South East",112248.19,442579.15,7,"01/04/1994","11/07/2019","UKA00235"
"65","Southwark.A2.Old.Kent.Road",4,0,0,"Traffic Urban",51.480499,-0.05955,"Greater London Urban Area","Greater London Urban Area",177512.01,534844.25,10,"01/01/2011","1/31/19","UKA00558"
"66","St.Helens.Linkway",2,0,0,"Traffic Urban",53.451826,-2.742134,"Liverpool Urban Area","North West & Merseyside",395264,350812.97,32,"9/27/16","9/19/18","UKA00627"
"67","Stanford.le.Hope.Roadside",4,0,0,"Traffic Urban",51.518167,0.439548,"Eastern","Eastern",182737.17,569358.49,18,"1/22/08","2/26/19","UKA00525"
"68","Stockton.on.Tees.Eaglescliffe",3,0,0,"Traffic Urban",54.516667,-1.358547,"North East","North East",513674.44,441623.38,29,"09/01/2008",NA,"UKA00535"
"69","Stoke.on.Trent.A50.Roadside",2,0,0,"Traffic Urban",52.980436,-2.111898,"The Potteries","West Midlands",342571.56,392584.1,179,"5/22/15","10/23/18","UKA00610"
"70","Swansea.Roadside",1,0,0,"Traffic Urban",51.632696,-3.947374,"Swansea Urban Area","South Wales",194450.54,265319,61,"9/20/06","11/16/11","UKA00497"
"71","Thurrock",4,0,0,"Background Urban",51.47707,0.317969,"Eastern","Eastern",177893.1,561068.85,8,"09/01/1996","10/30/18","UKA00272"
"72","Warrington",2,0,0,"Industrial Urban",53.38928,-2.615358,"North West & Merseyside","North West & Merseyside",388225.53,359171.9,11,"10/21/08","11/21/18","UKA00538"
"73","Wrexham",2,0,0,"Traffic Urban",53.04222,-3.002778,"North Wales","North Wales",349909.25,332865.08,70,"03/01/2002","9/30/18","UKA00440"
"74","York.Bootham",2,0,0,"Background Urban",53.967513,-1.086514,"Yorkshire & Humberside","Yorkshire & Humberside",452767.99,460023.83,15,"01/01/2008","02/10/2009","UKA00523"
"75","York.Fishergate",2,0,0,"Traffic Urban",53.951889,-1.075861,"Yorkshire & Humberside","Yorkshire & Humberside",451038.75,460745.34,16,"01/01/2008","10/10/2018","UKA00524"
